customer_id,shop_name,gps_lat,gps_lng,locality,territory_id,customer_rating,review_rating,shop_category,cold_truck_required,volume_tier,payment_type,credit_limit,outstanding_balance,lifecycle_state,acquisition_date,preferred_visit_day,preferred_order_window
CUS_RUH_0001,Al Waha Fresh Mini Market,24.769194,46.600485,Hittin,TER_RUH,2,4.4,Mini Market,False,LOW,cash,0.0,0.0,Active,2025-02-27,Tuesday,Morning
CUS_RUH_0002,Al Othman Banquet Kitchen,24.780751,46.599296,Hittin,TER_RUH,3,3.9,Catering Kitchen,True,MED,cash,0.0,0.0,Active,2023-05-24,Tuesday,Midday
CUS_RUH_0003,Al Qassim Al Yasmin Grocery,24.844884,46.639722,Al Yasmin,TER_RUH,5,3.7,Grocery,False,MED,cash,0.0,0.0,At Risk,2022-10-20,Sunday,Morning
CUS_RUH_0004,Al Waha Fresh Meat,24.76971,46.596453,Hittin,TER_RUH,2,3.7,Butchery,True,HIGH,credit,71636.53,26962.89,Active,2022-09-25,Sunday,Midday
CUS_RUH_0005,Al Manar Fresh Butchery,24.829825,46.60646,Al Yasmin,TER_RUH,3,3.1,Butchery,True,MED,cash,0.0,0.0,Active,2023-01-03,Tuesday,Afternoon
CUS_RUH_0006,Al Shammari Chilled Foods,24.757268,46.589639,Hittin,TER_RUH,2,4.2,Cold Store,True,LOW,credit,5857.2,3237.35,New,2022-06-13,Saturday,Afternoon
CUS_RUH_0007,Olaya Grill,24.701275,46.657092,Olaya,TER_RUH,5,4.8,Restaurant,True,LOW,cash,0.0,0.0,New,2025-02-03,Wednesday,Afternoon
CUS_RUH_0008,Hittin Cafe,24.761057,46.603037,Hittin,TER_RUH,3,3.2,Cafe,True,MED,credit,35066.71,4264.31,Active,2022-08-08,Wednesday,Midday
CUS_RUH_0009,Al Nada Fresh Mini Market,24.66147,46.736475,Al Malaz,TER_RUH,3,3.4,Mini Market,False,LOW,cash,0.0,0.0,Dormant,2021-06-14,Thursday,Afternoon
CUS_RUH_0010,Al Ghamdi Mini Market,24.705431,46.703755,Al Sulaymaniyah,TER_RUH,2,3.8,Mini Market,False,MED,cash,0.0,0.0,Dormant,2025-06-06,Monday,Morning
CUS_RUH_0011,Al Noor Fresh Cafe,24.694424,46.73416,Al Sulaymaniyah,TER_RUH,5,4.0,Cafe,False,LOW,cash,0.0,0.0,Active,2022-02-20,Thursday,Midday
CUS_RUH_0012,Al Manar Al Malaz Hotel Kitchen,24.655689,46.745293,Al Malaz,TER_RUH,4,3.3,Hotel Kitchen,True,LOW,cash,0.0,0.0,New,2026-02-01,Monday,Afternoon
CUS_RUH_0013,Hittin Market,24.765952,46.577897,Hittin,TER_RUH,4,3.3,Supermarket,True,HIGH,credit,62818.64,20725.53,Active,2024-11-20,Thursday,Morning
CUS_RUH_0014,Al Rashid Trading Market,24.669817,46.744251,Al Malaz,TER_RUH,1,4.1,Supermarket,False,LOW,cash,0.0,0.0,At Risk,2025-12-14,Sunday,Midday
CUS_RUH_0015,Al Ghamdi Trading Corner Market,24.666298,46.731369,Al Malaz,TER_RUH,1,3.2,Mini Market,False,LOW,cash,0.0,0.0,At Risk,2026-04-17,Sunday,Morning
